"LIST-ID","occups"
"445469","curator"
"445521","medicus"
"445530","frumentarius"
"445542","poeta"
"445609","curator"
"445609","faber"
"445616","curator"
"445630","curator"
"445706","curator"
"445709","curator"
"445710","faber"
"445711","curator"
"445711","faber"
"445713","curator"
"445846","curator"
"445905","faber"
"445915","faber"
"445919","faber"
"445921","curator"
"445921","faber"
"445922","curator"
"445922","faber"
"445923","curator"
"445923","faber"
"445924","faber"
"445925","curator"
"445930","curator"
"445937","curator"
"445948","curator"
"445976","curator"
"445980","curator"
"445980","faber"
"445981","curator"
"445982","curator"
"445984","curator"
"446181","curator"
"446252","oleareus"
"446258","curator"
"446403","gladiator"
"446435","ocularius"
"446435","medicus"
"446443","medicus"
"446526","mercator"
"446527","sector"
"446578","faber"
"446596","curator"
"446599","curator"
"446675","caligarius"
"446675","lapidarius"
"446676","vestiarius"
"446685","sagarius"
"446687","colorator"
"446688","faber"
"446690","faber anularius"
"446691","negotiator ferrarius"
"446698","dendrophorus"
"446698","faber"
"446718","figulus"
"446719","curator"
"446729","dolator"
"446730","scriba"
"446751","curator"
"446751","curator"
"446761","medicus"
"446765","faber"
"446785","aurifex"
"446785","aurifex"
"446800","curator"
"446800","faber"
"446815","scriba"
"446815","scriba"
"446815","faber"
"446815","faber"
"446825","pectinarius"
"446825","carminator"
"446825","vestiarius"
"446855","faber"
"446861","nummularius"
"446865","vexillarius"
"446865","faber"
"447042","structor"
"447086","caementarius"
"447088","curator"
"447095","curator"
"447108","possessor"
"447108","possessor"
"447108","curator"
"447134","scriba"
"447134","scriba"
"447134","scriba"
"447143","sagittarius"
"447161","curator"
"447173","curator"
"447187","curator"
"447222","ornatrix"
"447228","marmorarius"
"447228","ornator"
"447233","structor"
"447279","curator"
"447283","ornator"
"447399","forensis"
"447399","curator"
"447466","curator"
"447467","curator"
"447468","curator"
"447470","curator"
"447470","curator"
"447475","curator"
"447485","curator"
"447491","curator"
"447519","curator"
"447526","curator"
"447531","pantomimus"
"447575","architectus"
"447609","ornator"
"447793","acceptor"
"447794","mensor"
"447795","mensor"
"447795","mensor"
"447803","mensor"
"447862","curator"
"447871","curator"
"447875","faber"
"447881","soliarius"
"447916","medicus"
"447968","aerarius"
"447969","scriba"
"447997","curator"
"448005","curator"
"448018","exceptor"
"448021","scaenicus"
"448027","scaenicus"
"448054","curator"
"448061","agricola"
"448061","pomarius"
"448066","scaenicus"
"448066","curator"
"448090","conditor"
"448094","curator"
"448098","fullo"
"448129","figulus"
"448155","curator"
"448179","arcarius"
"448274","mesor"
"448308","furnarius"
"448308","furnaria"
"448310","mulionus"
"448326","venator"
"448342","gladiator"
"448352","gladiator"
"448353","medicus"
"448463","scaenicus"
"448507","mesor"
"448511","structor"
"448511","curator"
"448535","curator"
"448636","curator"
"448637","curator"
"448643","curator"
"448644","faber"
"448645","curator"
"448650","scaenicus"
"448655","curator"
"448655","curator"
"448660","curator"
"448660","curator"
"448661","intestinus"
"448661","curator"
"448665","conditor"
"448679","curator"
"448691","curator"
"448711","curator"
"448720","curator"
"448726","curator"
"448745","curator"
"448769","aerarius"
"448769","curator"
"448770","curator"
"448770","curator"
"448770","curator"
"448793","extructor"
"448794","conditor"
"448814","curator"
"448816","curator"
"448817","aerarius"
"448817","curator"
"448821","curator"
"448843","curator"
"448849","structor"
"448862","signator"
"448862","scriba"
"448862","scriba"
"448933","curator"
"448937","curator"
"448966","curator"
"448967","aerarius"
"448967","aerarius"
"448983","curator"
"448986","curator"
"448991","albarius"
"449004","margaritarius"
"449033","aerarius"
"449033","salarius"
"449033","curator"
"449034","curator"
"449036","curator"
"449041","curator"
"449046","curator"
"449052","curator"
"449124","cornicen"
"449156","curator"
"449208","lanifica"
"449244","curator"
"449249","gladiator"
"449305","possessor"
"449338","curator"
"449344","aerarius"
"449364","sartor"
